sno,link
0,https://www.amazon.in/gp/help/customer/display.html/ref=footer_cou?ie=UTF8&nodeId=200545940
1,https://www.amazon.in/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=200534380
sno,link
0,https://www.amazon.in/ref=nav_logo
1,https://www.amazon.in/prime?ref_=nav_logo_prime_join
2,https://www.amazon.in/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.in%2Fs%2Fref%3Dnb_sb_noss%3Furl%3Dsearch-alias%253Daps%26field-keywords%3DLaptop%26ref_%3Dnav_ya_signin%26_encoding%3DUTF8&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=inflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&
3,https://www.amazon.in/prime?ref_=nav_prime_try_btn
4,https://www.amazon.in/gp/registry/wishlist?ref_=nav_wishlist_btn
5,https://www.amazon.in/gp/cart/view.html?ref_=nav_cart
6,https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn
7,https://www.amazon.in/gp/yourstore/home?ref_=nav_cs_ys
8,https://www.amazon.in/gp/goldbox?ref_=nav_topnav_deals
9,https://www.amazon.in/gp/sva/dashboard?ref_=nav_apay
10,https://www.amazon.in/b/?node=2838698031&ld=AZINSOANavDesktop&ref_=nav_cs_sell
11,https://www.amazon.in/gp/help/customer/display.html?nodeId=200507590&ref_=nav_topnav_help
12,https://www.amazon.in#s-skipLinkTargetForMainSearchResults
13,https://www.amazon.in/s?k=Laptop&rh=p_85%3A10440599031&dc&qid=1559472841&rnid=10440598031&ref=sr_nr_p_85_1
14,https://www.amazon.in/s?k=Laptop&rh=n%3A976392031&dc&qid=1559472841&rnid=3576079031&ref=sr_nr_n_1
15,https://www.amazon.in/s?k=Laptop&rh=n%3A976392031%2Cn%3A1375424031&dc&qid=1559472841&rnid=3576079031&ref=sr_nr_n_2
16,https://www.amazon.in/s?k=Laptop&rh=n%3A976392031%2Cn%3A1375468031&dc&qid=1559472841&rnid=3576079031&ref=sr_nr_n_3
17,https://www.amazon.in/s?k=Laptop&rh=n%3A976392031%2Cn%3A11599544031&dc&qid=1559472841&rnid=3576079031&ref=sr_nr_n_4
18,https://www.amazon.in/s?k=Laptop&rh=n%3A976419031&dc&qid=1559472841&rnid=3576079031&ref=sr_nr_n_5
19,https://www.amazon.in/s?k=Laptop&rh=n%3A976419031%2Cn%3A1389493031&dc&qid=1559472841&rnid=3576079031&ref=sr_nr_n_6
20,https://www.amazon.in/s?k=Laptop&rh=n%3A976451031&dc&qid=1559472841&rnid=3576079031&ref=sr_nr_n_7
21,https://www.amazon.in/s?k=Laptop&rh=n%3A976451031%2Cn%3A5490115031&dc&qid=1559472841&rnid=3576079031&ref=sr_nr_n_8
22,https://www.amazon.in/s?k=Laptop&i=luggage&dc&qid=1559472841&ref=sr_nr_i_9
23,https://www.amazon.in/s?k=Laptop&i=kitchen&dc&qid=1559472841&ref=sr_nr_i_10
24,https://www.amazon.in/s?k=Laptop&i=shoes&dc&qid=1559472841&ref=sr_nr_i_11
25,https://www.amazon.in/s?k=Laptop&i=automotive&dc&qid=1559472841&ref=sr_nr_i_12
26,https://www.amazon.in/s?k=Laptop&i=videogames&dc&qid=1559472841&ref=sr_nr_i_13
27,https://www.amazon.in/s?k=Laptop&i=toys&dc&qid=1559472841&ref=sr_nr_i_14
28,https://www.amazon.in/s?k=Laptop&i=misc&dc&qid=1559472841&ref=sr_nr_i_15
29,https://www.amazon.in/s?k=Laptop&i=apparel&dc&qid=1559472841&ref=sr_nr_i_16
30,https://www.amazon.in/s?k=Laptop&i=hpc&dc&qid=1559472841&ref=sr_nr_i_17
31,https://www.amazon.in/s?k=Laptop&i=collectibles&dc&qid=1559472841&ref=sr_nr_i_18
32,https://www.amazon.in/s?k=Laptop&i=watches&dc&qid=1559472841&ref=sr_nr_i_19
33,https://www.amazon.in/s?k=Laptop&i=beauty&dc&qid=1559472841&ref=sr_nr_i_20
34,https://www.amazon.in/s?k=Laptop&i=instant-video&dc&qid=1559472841&ref=sr_nr_i_21
35,https://www.amazon.injavascript:void(0)
36,https://www.amazon.in/s?k=Laptop&rh=p_72%3A1318476031&dc&qid=1559472841&rnid=1318475031&ref=sr_nr_p_72_1
37,https://www.amazon.in/s?k=Laptop&rh=p_72%3A1318477031&dc&qid=1559472841&rnid=1318475031&ref=sr_nr_p_72_2
38,https://www.amazon.in/s?k=Laptop&rh=p_72%3A1318478031&dc&qid=1559472841&rnid=1318475031&ref=sr_nr_p_72_3
39,https://www.amazon.in/s?k=Laptop&rh=p_72%3A1318479031&dc&qid=1559472841&rnid=1318475031&ref=sr_nr_p_72_4
40,https://www.amazon.in/s?k=Laptop&rh=p_89%3AHP&dc&qid=1559472841&rnid=3837712031&ref=sr_nr_p_89_1
41,https://www.amazon.in/s?k=Laptop&rh=p_89%3ADell&dc&qid=1559472841&rnid=3837712031&ref=sr_nr_p_89_2
42,https://www.amazon.in/s?k=Laptop&rh=p_89%3ALenovo&dc&qid=1559472841&rnid=3837712031&ref=sr_nr_p_89_3
43,https://www.amazon.in/s?k=Laptop&rh=p_89%3AAcer&dc&qid=1559472841&rnid=3837712031&ref=sr_nr_p_89_4
44,https://www.amazon.in/s?k=Laptop&rh=p_89%3AiBall&dc&qid=1559472841&rnid=3837712031&ref=sr_nr_p_89_5
45,https://www.amazon.in/s?k=Laptop&rh=p_89%3AAsus&dc&qid=1559472841&rnid=3837712031&ref=sr_nr_p_89_6
46,https://www.amazon.in/s?k=Laptop&rh=p_89%3ARDP&dc&qid=1559472841&rnid=3837712031&ref=sr_nr_p_89_7
47,https://www.amazon.in/s?k=Laptop&rh=p_89%3Alaptop&dc&qid=1559472841&rnid=3837712031&ref=sr_nr_p_89_8
48,https://www.amazon.in/s?k=Laptop&rh=p_89%3AMicromax&dc&qid=1559472841&rnid=3837712031&ref=sr_nr_p_89_9
49,https://www.amazon.in/s?k=Laptop&rh=p_89%3AKuzy&dc&qid=1559472841&rnid=3837712031&ref=sr_nr_p_89_10
50,https://www.amazon.in/s?k=Laptop&rh=p_89%3AMicrosoft&dc&qid=1559472841&rnid=3837712031&ref=sr_nr_p_89_11
51,https://www.amazon.in/s?k=Laptop&rh=p_89%3AApple&dc&qid=1559472841&rnid=3837712031&ref=sr_nr_p_89_12
52,https://www.amazon.in/s?k=Laptop&rh=p_89%3AONSITEGO&dc&qid=1559472841&rnid=3837712031&ref=sr_nr_p_89_13
53,https://www.amazon.in/s?k=Laptop&rh=p_n_is_sns_available%3A9835532031&dc&qid=1559472841&rnid=9835531031&ref=sr_nr_p_n_is_sns_available_1
54,https://www.amazon.in/s?k=Laptop&rh=p_n_is_cod_eligible%3A4931671031&dc&qid=1559472841&rnid=4931670031&ref=sr_nr_p_n_is_cod_eligible_1
55,https://www.amazon.in/s?k=Laptop&rh=n%3A1375424031%2Cp_n_feature_browse-bin%3A1464449031&dc&qid=1559472841&rnid=1464448031&ref=sr_nr_p_n_feature_browse-bin_1
56,https://www.amazon.in/s?k=Laptop&rh=n%3A1375424031%2Cp_n_feature_browse-bin%3A1464450031&dc&qid=1559472841&rnid=1464448031&ref=sr_nr_p_n_feature_browse-bin_2
57,https://www.amazon.in/s?k=Laptop&rh=n%3A1375424031%2Cp_n_feature_browse-bin%3A1464451031&dc&qid=1559472841&rnid=1464448031&ref=sr_nr_p_n_feature_browse-bin_3
58,https://www.amazon.in/s?k=Laptop&rh=n%3A1375424031%2Cp_n_feature_browse-bin%3A1464452031&dc&qid=1559472841&rnid=1464448031&ref=sr_nr_p_n_feature_browse-bin_4
