title,price,reviews,rating,company,customerreviews,link
"Spacewood Rio Queen Size Engineered Wood Bed with Box Storage (Woodpore Finish, Natural Teak)",16499.0,93,3.3,Spacewood,3.3 out of 5 stars,https://www.amazon.in/Spacewood-Storage-Woodpore-Finish-Natural/dp/B076122D8S/ref=sr_1_13?keywords=bed&qid=1559923881&s=gateway&sr=8-13
HomeTown Bolton King Size Engineered Wood Bed With Box Storage (Particle Board - Wenge),,13,3.6,HomeTown,3.6 out of 5 stars,https://www.amazon.in/HomeTown-Bolton-King-Engineered-Storage/dp/B0721JRDXY/ref=sr_1_38?keywords=bed&qid=1559923881&s=gateway&sr=8-38
M&M Single Size Solid Wood Trundle Bed (Sheesham Wood - Brown),7989.0,1,5.0,M&M,5.0 out of 5 stars,https://www.amazon.in/Sheesham-Single-Trundle-Walnut-Finish/dp/B07K33Y7Q7/ref=sr_1_33?keywords=bed&qid=1559923881&s=gateway&sr=8-33
Kurtzy Folding Bed Cot for Camping Picnic Home and Outdoor,2899.0,12,3.7,Kurtzy,3.7 out of 5 stars,https://www.amazon.in/Kurtzy-Folding-Camping-Picnic-Outdoor/dp/B07NDXFKBC/ref=sr_1_28?keywords=bed&qid=1559923881&s=gateway&sr=8-28
NA ENTERPRISESS Single Size Foldable Bed (Black),,13,3.8,NA ENTERPRISES,3.8 out of 5 stars,https://www.amazon.in/NA-ENTERPRISESS-Single-Foldable-Black/dp/B07LH3SKWW/ref=sr_1_11?keywords=bed&qid=1559923881&s=gateway&sr=8-11
@home by Nilkamal Nation Queen Size Solid Wood Bed (Rubber Wood - Walnut),10890.0,20,3.0,@home By Nilkamal,3.0 out of 5 stars,https://www.amazon.in/home-Nilkamal-Nation-Without-Storage/dp/B06WGL8GDL/ref=sr_1_16?keywords=bed&qid=1559923881&s=gateway&sr=8-16
"AmazonBasics Plat Form, Bed Frame, Black, Single",3499.0,5,4.3,AmazonBasics,4.3 out of 5 stars,https://www.amazon.in/AmazonBasics-Platform-Frame-Black-Twin/dp/B073WR319C/ref=sr_1_9?keywords=bed&qid=1559923881&s=gateway&smid=AT95IG9ONZD7S&sr=8-9
Spacewood Joy Queen Size Engineered Wood Bed (Particle Board - Natural Wenge),11999.0,111,3.1,Spacewood,3.1 out of 5 stars,https://www.amazon.in/Spacewood-Queen-Woodpore-Finish-Natural/dp/B075JLZ1GF/ref=sr_1_17?keywords=bed&qid=1559923881&s=gateway&sr=8-17
Urban Ladder Osaka Queen Size Solid Wood Bed (Rubber Wood - Dark Walnut),16999.0,20,3.8,Urban Ladder,3.8 out of 5 stars,https://www.amazon.in/dp/B01LZ1XIL7?aaxitk=u0fvd51KRkgCMxdedxkXAw&pd_rd_i=B01LZ1XIL7&pf_rd_p=ddc78b0d-0a78-403f-9399-68105b975bab&hsa_cr_id=5368953230202&sb-ci-n=asinImage&sb-ci-v=https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F31amcf3wnoL.jpg&sb-ci-a=B01LZ1XIL7
"PARVESH Smart Plywood Folding Bed Size 36"" X 72"" with Castor Wheel",2690.0,8,3.5,PARVESH,3.5 out of 5 stars,https://www.amazon.in/PARVESH-Smart-Plywood-Folding-Castor/dp/B07PQMMSRL/ref=sr_1_27?keywords=bed&qid=1559923881&s=gateway&sr=8-27
Klassic Single Size Folding Bed | Iron Folding Bed | Wood Folding Bed for Household Purpose (Large),2999.0,71,3.8,Klassic,3.8 out of 5 stars,https://www.amazon.in/Klassic-Single-Folding-Household-Purpose/dp/B07GJHJQ26/ref=sr_1_7?keywords=bed&qid=1559923881&s=gateway&sr=8-7
DeckUp Noordin Queen Size Engineered Wood Bed With Box Storage (Plywood - Dark Wenge),,11,4.2,DeckUp,4.2 out of 5 stars,https://www.amazon.in/DeckUp-Engineered-Finish-Noordin-Storage/dp/B07CYS7J4J/ref=sr_1_19?keywords=bed&qid=1559923881&s=gateway&sr=8-19
"Camabeds Easy Single Premium Roll Away Bed with Castor Wheels and 5"" Mattress",11999.0,129,3.5,Camabeds,3.5 out of 5 stars,https://www.amazon.in/Camabeds-Single-Premium-Castor-Mattress/dp/B01M8L9AML/ref=sr_1_15?keywords=bed&qid=1559923881&s=gateway&sr=8-15
