title,price,reviews,rating,company,customerreviews,link
"ASUS X507 ( Core i3-7th Gen /8 GB/ 1TB HDD / 15.6"" FHD/ Windows 10 ) Thin and Light X507UA- EJ274T ( Icicle Gold /1.68 kg)",31688.0,21,4.0,Asus,4.0 out of 5 stars,https://www.amazon.in/i3-7th-Windows-X507UA-EJ274T-Icicle/dp/B07N8CJG47/ref=sr_1_15?keywords=Laptop&qid=1559472841&s=gateway&sr=8-15
"HP 14Q CS0009TU 2018 14-inch Laptop (7th Gen Core i3 7020U/4GB/1TB/DOS 2.0/Integrated Graphics), Jet Black",25990.0,104,3.5,HP,3.5 out of 5 stars,https://www.amazon.in/HP-CS0009TU-14-inch-Integrated-Graphics/dp/B07L9SCJMB/ref=sr_1_3?keywords=Laptop&qid=1559472841&s=gateway&sr=8-3
"HP 14-inch Core i5 8th Gen FHD Laptop (8GB/1TB HDD/Win 10/Integrated Graphics/MS Office/Natural Silver/1.43 kg), 14s-cs1000tu",47990.0,3,4.6,HP,4.6 out of 5 stars,https://www.amazon.in/HP-14-inch-Integrated-Graphics-14s-cs1000tu/dp/B07LDRVXKX/ref=sr_1_18?keywords=Laptop&qid=1559472841&s=gateway&sr=8-18
"HP 245 7th GEN AMD (4GB / 1TB / DOS) G6 Laptop, (14.1 inch, Black)",20994.0,43,3.5,HP,3.5 out of 5 stars,https://www.amazon.in/HP-245-14-1-Laptop-A9-9420/dp/B0775TWW1G/ref=sr_1_17?keywords=Laptop&qid=1559472841&s=gateway&sr=8-17
"HP Pavilion Gaming Core i5 8th Gen 15.6-inch FHD Gaming Laptop (8GB/128GB SSD + 1TB HDD/Windows 10/NVIDIA GTX 1050Ti 4GB Graphics/Shadow Black/2.17 kg), 15-bc444TX",64990.0,42,3.5,HP,3.5 out of 5 stars,https://www.amazon.in/dp/B07Q5YWCDC?aaxitk=7txTaMHs372rAYsiZHeqVg&pd_rd_i=B07Q5YWCDC&pf_rd_p=ddc78b0d-0a78-403f-9399-68105b975bab&hsa_cr_id=8305302760402&sb-ci-n=asinImage&sb-ci-v=https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F71Ni4tI8AdL.jpg&sb-ci-a=B07Q5YWCDC
nan,,nan,nan,,,https://www.amazon.in/dp/B07F64D9XL?aaxitk=7txTaMHs372rAYsiZHeqVg&pd_rd_i=B07F64D9XL&pf_rd_p=ddc78b0d-0a78-403f-9399-68105b975bab&hsa_cr_id=8305302760402&sb-ci-n=productDescription&sb-ci-v=HP%20Pavilion%20Gaming%20Core%20i7%208th%20Gen%2015.6-inch%20FHD%20Gaming%20Laptop%20(8GB%2F128GB%20SSD%20%2B%201TB%20HDD%2FWindows%2010%20Home%2FNVIDIA%20GTX%201050%204GB%20Graphics%2FShadow%20Black%2F2.17%20kg)%2Cbc408TX&sb-ci-a=B07F64D9XL
"iBall M500 14-inch Laptop (Intel Celeron N3350/4GB/32GB/Windows 10/Integrated Graphics), Cobalt Blue",10990.0,143,3.3,iBall,3.3 out of 5 stars,https://www.amazon.in/iBall-CompBook-M500-Integrated-Graphics/dp/B07DJLDPF1/ref=sr_1_6?keywords=Laptop&qid=1559472841&s=gateway&sr=8-6
nan,,nan,nan,,,https://www.amazon.in/dp/B07F64D9XJ?aaxitk=7txTaMHs372rAYsiZHeqVg&pd_rd_i=B07F64D9XJ&pf_rd_p=ddc78b0d-0a78-403f-9399-68105b975bab&hsa_cr_id=8305302760402&sb-ci-n=asinImage&sb-ci-v=https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F71vKqyZUUcL.jpg&sb-ci-a=B07F64D9XJ
"HP 14 Core i3 7th gen 14-inch Thin and Light Laptop (4GB/1TB HDD/Windows 10 Home/MS Office/Smoke Gray/1.59 kg), 14q-cs0014TU",29990.0,332,3.3,HP,3.3 out of 5 stars,https://www.amazon.in/HP-14-inch-Laptop-Windows-14q-cs0014TU/dp/B07QSB7379/ref=sr_1_16?keywords=Laptop&qid=1559472841&s=gateway&sr=8-16
"HP 15 Intel Core-i3 7th Gen (8GB DDR4/1 TB HDD/Windows 10/Integrated Graphics/2.04 kg),Full HD Laptop, (15.6-inch,Sparkling Black) 15q-ds0026tu",35990.0,198,3.5,HP,3.5 out of 5 stars,https://www.amazon.in/HP-Integrated-15-6-inch-Sparkling-15q-ds0026tu/dp/B07LGM5G37/ref=sr_1_9?keywords=Laptop&qid=1559472841&s=gateway&sr=8-9
"HP 14-inch Core i5 8th Gen FHD Laptop (8GB/1TB HDD/Win 10/Integrated Graphics/MS Office/Natural Silver/1.43 kg), 14s-cs1000tu",47990.0,3,4.6,HP,4.6 out of 5 stars,https://www.amazon.in/HP-14-inch-Integrated-Graphics-14s-cs1000tu/dp/B07LDRVXKX/ref=sr_1_18?keywords=Laptop&qid=1559472841&s=gateway&sr=8-18
"HP 14 Core i3 7th gen 14-inch Thin and Light Laptop (4GB/1TB HDD/Windows 10 Home/MS Office/Smoke Gray/1.59 kg), 14q-cs0014TU",29990.0,332,3.3,HP,3.3 out of 5 stars,https://www.amazon.in/HP-14-inch-Laptop-Windows-14q-cs0014TU/dp/B07QSB7379/ref=sr_1_16?keywords=Laptop&qid=1559472841&s=gateway&sr=8-16
"HP 15 AMD E2 15.6-inch Entry Level Laptop (4GB /1TB HDD/Windows 10 Home/Jet Black/2.04 Kgs), 15q-dy0001au",21470.0,291,3.3,HP,3.3 out of 5 stars,https://www.amazon.in/HP-15-6-inch-Laptop-Windows-15q-dy0001au/dp/B07FC6S8J7/ref=sr_1_5?keywords=Laptop&qid=1559472841&s=gateway&sr=8-5
"HP Pavilion Gaming Core i5 8th Gen 15.6-inch FHD Gaming Laptop (8GB/128GB SSD + 1TB HDD/Windows 10/NVIDIA GTX 1050Ti 4GB Graphics/Shadow Black/2.17 kg), 15-bc444TX",64990.0,42,3.5,HP,3.5 out of 5 stars,https://www.amazon.in/dp/B07Q5YWCDC?aaxitk=7txTaMHs372rAYsiZHeqVg&pd_rd_i=B07Q5YWCDC&pf_rd_p=ddc78b0d-0a78-403f-9399-68105b975bab&hsa_cr_id=8305302760402&sb-ci-n=productDescription&sb-ci-v=HP%20Pavilion%20Gaming%20Core%20i5%208th%20Gen%2015.6-inch%20FHD%20Gaming%20Laptop%20(8GB%2F128GB%20SSD%20%2B%201TB%20HDD%2FWindows%2010%2FNVIDIA%20GTX%201050Ti%204GB%20Graphics%2FShadow%20Black%2F2.17%20kg)%2C%2015-bc444TX&sb-ci-a=B07Q5YWCDC
