title,price,reviews,rating,company,customerreviews,link
Diverse Men's Solid Formal Shirt,399.0,18,3.3,,3.3 out of 5 stars,https://www.amazon.in/Diverse-Solid-Regular-Formal-DCMFF02RC07KA2-756_Wine_40/dp/B07K2K4QZS/ref=sr_1_47?keywords=Shirts&qid=1559924489&s=gateway&sr=8-47
Park Avenue Men's Plain Slim Fit Formal Shirt,915.0,17,3.7,,3.7 out of 5 stars,https://www.amazon.in/dp/B07CMFL6G9?aaxitk=1Rlle2cR5GpzoMovza.LBg&pd_rd_i=B07CMFL6G9&pf_rd_p=ddc78b0d-0a78-403f-9399-68105b975bab&hsa_cr_id=7280274540102&sb-ci-n=asinImage&sb-ci-v=https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F91cU2R66JoL.jpg&sb-ci-a=B07CMFL6G9
Being fab Men's Cotton Casual Shirt,320.0,446,2.5,BEING FAB,2.5 out of 5 stars,https://www.amazon.in/Being-Fab-Mens-Shirt-BFREDSHT02-40_40_Red/dp/B017WDVY8O/ref=sr_1_44?keywords=Shirts&qid=1559924489&s=gateway&sr=8-44
Human Steps Men's Formal Cotton Shirt,479.0,1,5.0,Human Steps,5.0 out of 5 stars,https://www.amazon.in/Human-Steps-Solid-Formal-Maroon/dp/B06WW9J8QM/ref=sr_1_56?keywords=Shirts&qid=1559924489&s=gateway&sr=8-56
Dennis Lingo Men's Denim Light Blue Solid Casual Shirt,749.0,205,4.0,Dennis Lingo,4.0 out of 5 stars,https://www.amazon.in/Dennis-Lingo-Casual-C503_LIGHTBLUE_S_Light-Blue_S/dp/B0751G29X3/ref=sr_1_19?keywords=Shirts&qid=1559924489&s=gateway&sr=8-19
Katso Men's Cotton T-Shirt (Pack Of 1) (Katso-Hood-Full),259.0,1991,3.9,Katso,3.9 out of 5 stars,https://www.amazon.in/Katso-Cotton-Hooded-T-Shirt-Katso-Hood-Full-Black-M/dp/B01HQ4O058/ref=sr_1_6?keywords=Shirts&qid=1559924489&s=gateway&sr=8-6
Campus Sutra Men's Cotton Casual Shirt,649.0,267,3.3,Campus Sutra,3.3 out of 5 stars,https://www.amazon.in/Campus-Sutra-Checkered-Regular-AZ17SHRT_BGCHK1_M_PLN_DNBU_AZ_Denim/dp/B07145FXKJ/ref=sr_1_26?keywords=Shirts&qid=1559924489&s=gateway&sr=8-26
Diverse Men's Printed Regular Fit Cotton Formal Shirt,419.0,90,3.7,,3.7 out of 5 stars,https://www.amazon.in/Diverse-Printed-Regular-Cotton-DVF01F2L01-263-42_Navy_42/dp/B075KKF5XL/ref=sr_1_8?keywords=Shirts&qid=1559924489&s=gateway&sr=8-8
IndoPrimo Men's Cotton Casual Shirt for Men Full Sleeves,,104,3.6,IndoPrimo,3.6 out of 5 stars,https://www.amazon.in/IndoPrimo-Cotton-Casual-Shirt-Sleeves/dp/B07H1JTS76/ref=sr_1_11?keywords=Shirts&qid=1559924489&s=gateway&sr=8-11
IndoPrimo Men's Cotton Casual Shirt for Men Full Sleeves,,172,3.3,IndoPrimo,3.3 out of 5 stars,https://www.amazon.in/IndoPrimo-Cotton-Casual-Sleeves-Medium/dp/B07H1KLR44/ref=sr_1_9?keywords=Shirts&qid=1559924489&s=gateway&sr=8-9
Diverse Men's Printed Regular Fit Cotton Formal Shirt,419.0,90,3.7,,3.7 out of 5 stars,https://www.amazon.in/Diverse-Printed-Regular-Cotton-DVF01F2L01-263-42_Navy_42/dp/B075KKF5XL/ref=sr_1_8?keywords=Shirts&qid=1559924489&s=gateway&sr=8-8
Kandy Men's Casual Shirt,499.0,19,3.8,Kandy,3.8 out of 5 stars,https://www.amazon.in/Kandy-Casual-Shirt-SHIRT-CL-DENIM-L-S-M-Medium/dp/B077JWQV26/ref=sr_1_36?keywords=Shirts&qid=1559924489&s=gateway&sr=8-36
