title,price,reviews,rating,company,customerreviews,link
ASIAN Shoes Wonder-13 Grey Firozi Mesh Shoes,499.0,3311,4.1,ASIAN,4.1 out of 5 stars,https://www.amazon.in/Asian-shoes-Running-Firozi-Indian/dp/B01N54ZM9W/ref=sr_1_10?keywords=Shoes&qid=1559396013&s=gateway&sr=8-10
ASIAN Shoes Wonder-13 Grey Firozi Mesh Shoes,499.0,3311,4.1,ASIAN,4.1 out of 5 stars,https://www.amazon.in/Asian-shoes-Running-Firozi-Indian/dp/B01N54ZM9W/ref=ice_ac_b_dpb?keywords=Shoes&qid=1559396013&s=gateway&sr=8-10
"Boltt Alexastar Men's Air Series Mesh Smart Casual,Walking,Gymwear, Running Shoes",390.0,20,3.3,Boltt,3.3 out of 5 stars,https://www.amazon.in/Boltt-Casual-Walking-Gymwear-Running/dp/B07PR64LYB/ref=sr_1_31?keywords=Shoes&qid=1559396013&s=gateway&sr=8-31
SHC Men's Sports Shoes Sneaker,259.0,49,3.9,SHC,3.9 out of 5 stars,https://www.amazon.in/SHC-Sports-Shoes-Sneaker-Black/dp/B07DPMQNGW/ref=sr_1_20?keywords=Shoes&qid=1559396013&s=gateway&sr=8-20
Shozie Men's Running Sports Shoes,245.0,82,3.1,Shozie,3.1 out of 5 stars,https://www.amazon.in/Shozie-Mens-Running-Sports-Shoes/dp/B07MSH7V69/ref=sr_1_16?keywords=Shoes&qid=1559396013&s=gateway&sr=8-16
Afrojack Men's Air-5 Mesh Sports Sneakers,,142,2.8,AFROJACK,2.8 out of 5 stars,https://www.amazon.in/Afrojack-Air-5-Sports-Shoes-Grey-8/dp/B07K2377BR/ref=sr_1_52?keywords=Shoes&qid=1559396013&s=gateway&sr=8-52
Sparx Men's Running Shoes,710.0,1099,4.2,,4.2 out of 5 stars,https://www.amazon.in/Sparx-Mens-Orange-Running-Shoes/dp/B01N8TVC4G/ref=sr_1_25?keywords=Shoes&qid=1559396013&s=gateway&sr=8-25
Amico Ultralight Sports & Running Shoes for Men & Boys,499.0,107,2.8,Amico,2.8 out of 5 stars,https://www.amazon.in/Amico-Ultralight-Sports-Running-Shoes/dp/B07RLH3K68/ref=sr_1_6?keywords=Shoes&qid=1559396013&s=gateway&sr=8-6
Zovim Men's Denim Jeans Sneakers Casual Shoes - Blue,299.0,438,3.9,ZOVIM,3.9 out of 5 stars,https://www.amazon.in/ZOVIM-Mens-Sneakers-Blue-Denim/dp/B074W7Z7PN/ref=sr_1_18?keywords=Shoes&qid=1559396013&s=gateway&sr=8-18
Red Rose Casual Sneakers Shoe's for Men's.,299.0,57,2.8,Red Rose,2.8 out of 5 stars,https://www.amazon.in/Red-Rose-Casual-Sneakers-Shoes/dp/B07L871VGC/ref=sr_1_36?keywords=Shoes&qid=1559396013&s=gateway&sr=8-36
