sno,link
0,https://www.amazon.in/ref=nav_logo
1,https://www.amazon.in/prime?ref=nav_logo_prime_join
2,https://www.amazon.in/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.in%2F%3F_encoding%3DUTF8%26opf_redir%3D1%26ref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=inflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&&openid.pape.max_auth_age=0
3,https://www.amazon.in/gp/prime?ref=nav_prime_try_btn
4,https://www.amazon.in/gp/registry/wishlist?ref=nav_wishlist_btn
5,https://www.amazon.in/gp/cart/view.html?ref=nav_cart
6,https://www.amazon.in/gp/site-directory?ref=nav_shopall_btn
7,https://www.amazon.in/gp/yourstore/home?ref=nav_cs_ys
8,https://www.amazon.in/gp/goldbox?ref=nav_topnav_deals
9,https://www.amazon.in/gp/sva/dashboard?ref=nav_apay
10,https://www.amazon.in/selling?ref=nav_cs_sell
11,https://www.amazon.in/gp/help/customer/display.html?nodeId=200507590&ref=nav_topnav_help
12,https://www.amazon.in#
13,https://www.amazon.in/b/ref=GW-fall-launch?node=14156834031&pf_rd_p=33ac50db-6607-4259-9fab-9e2a19e46569&pf_rd_r=ZJFSTB1YAYBAKMW3AVC4
14,https://www.amazon.in#
15,https://www.amazon.in/dp/ref=gw_newDesktop/B0792PG3S8?pf_rd_p=f6bffa54-e998-4260-8888-efce57d44c69&pf_rd_r=ZJFSTB1YAYBAKMW3AVC4
16,https://www.amazon.in/dp/ref=gw_newDesktop/B0792PG3S8?pf_rd_p=f6bffa54-e998-4260-8888-efce57d44c69&pf_rd_r=ZJFSTB1YAYBAKMW3AVC4
17,https://www.amazon.in/dp/ref=gw_newDesktop/B07CTTL5GR?pf_rd_p=9eddcc50-746a-4957-89f8-f21ce3aa4208&pf_rd_r=ZJFSTB1YAYBAKMW3AVC4
